"보고 시작","보고 종료","광고 이름","광고 게재","기여 설정",결과,"결과 표시 도구",도달,빈도,"결과당 비용","광고 세트 예산","광고 세트 예산 유형","지출 금액 (KRW)",종료,"품질 순위","참여율 순위","전환율 순위",노출,"CPM(1,000회 노출당 비용) (KRW)","링크 클릭",shop_clicks,"CPC(링크 클릭당 비용) (KRW)","CTR(링크 클릭률)",클릭(전체),CTR(전체),"CPC(전체) (KRW)","랜딩 페이지 조회","랜딩 페이지 조회당 비용 (KRW)","구매당 비용 (KRW)",구매,"구매 ROAS(광고 지출 대비 수익률)","구매 전환값","결과 ROAS","결과 ROAS 표시 도구"
2026-03-09,2026-03-23,무료배송+5%할인_이미지1,active,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",6,actions:offsite_conversion.fb_pixel_purchase,8425,2.117507,36594.16666667,"캠페인 예산 사용",0,219565,2026-03-31,-,-,-,17840,12307.455157,187,,1174.144385,1.048206,206,1.154709,1065.849515,154,1425.746753,36594.166667,6,4.634163,1017500,4.634163,action_values:offsite_conversion.fb_pixel_purchase
2026-03-09,2026-03-23,"택배 클레임 지옥 탈출법_이미지2",inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,21,1.142857,,"캠페인 예산 사용",0,315,2026-03-31,-,-,-,24,13125,,,,,1,4.166667,315,,,,,,,,
2026-03-09,2026-03-23,택배받았는데_이미지3,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,106,1.132075,,"캠페인 예산 사용",0,1490,2026-03-31,-,-,-,120,12416.666667,1,,1490,0.833333,1,0.833333,1490,1,1490,,,,,,
2026-03-09,2026-03-23,택배클레임_이미지4,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,1019,1.400393,,"캠페인 예산 사용",0,17077,2026-03-31,-,-,-,1427,11967.06377,28,,609.892857,1.962158,29,2.032235,588.862069,20,853.85,,,,,,
2026-03-09,2026-03-23,온라인판매자필독_이미지2,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,38,1.157895,,"캠페인 예산 사용",0,760,2026-03-31,-,-,-,44,17272.727273,,,,,0,0,0,,,,,,,,
2026-03-09,2026-03-23,뽁뽁이사는돈_이미지1,active,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",9,actions:offsite_conversion.fb_pixel_purchase,7691,2.609284,33205.77777778,"캠페인 예산 사용",0,298852,2026-03-31,-,-,-,20068,14891.967311,222,,1346.18018,1.106239,394,1.963325,758.507614,134,2230.238806,33205.777778,9,6.082375,1817730,6.08237522,action_values:offsite_conversion.fb_pixel_purchase
2026-03-09,2026-03-23,쿠팡업체도_영상,active,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",4,actions:offsite_conversion.fb_pixel_purchase,831,2.729242,7265,"캠페인 예산 사용",0,29060,2026-03-31,평균,평균,"평균 이하 - 광고의 하위 35%",2268,12813.051146,20,,1453,0.881834,25,1.102293,1162.4,13,2235.384615,7265,4,18.833104,547290,18.83310392,action_values:offsite_conversion.fb_pixel_purchase
2026-03-09,2026-03-23,포자비용제로_영상,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,140,1.25,,"캠페인 예산 사용",0,1980,2026-03-31,-,-,-,175,11314.285714,2,,990,1.142857,3,1.714286,660,2,990,,,,,,
2026-03-09,2026-03-23,쿠팡업체도_영상_v2,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,19,1.157895,,"캠페인 예산 사용",0,249,2026-03-31,-,-,-,22,11318.181818,,,,,0,0,0,,,,,,,,
2026-03-09,2026-03-23,파손제로_이미지1_0320,inactive,"클릭 후 7일, 조회 후 1일 또는 참여한 조회 후 1일",,,473,1.323467,,"캠페인 예산 사용",0,11465,2026-03-31,-,-,-,626,18314.696486,2,,5732.5,0.319489,6,0.958466,1910.833333,,,,,,,,
